"mc_x"	"mc_y"	"mc_num"
"187"	822	951	187
"188"	855	965	188
"189"	808	906	189
"190"	896	914	190
"191"	793	976	191
"192"	866	993	192
"193"	872	1055	193
"194"	986	1040	194
"195"	882	1030	195
"196"	1048	1016	196
"197"	963	1021	197
"198"	973	977	198
"199"	898	983	199
"200"	945	957	200
"201"	921	1021	201
"202"	1075	958	202
"203"	1029	948	203
"204"	1068	989	204
"205"	1120	1040	205
"206"	1167	1006	206
"207"	1069	1020	207
"208"	1117	986	208
"209"	1136	1034	209
"210"	1110	1099	210
"211"	909	36	211
"212"	957	27	212
"213"	1004	42	213
"214"	954	93	214
"215"	980	107	215
"216"	958	167	216
"217"	1032	110	217
"218"	979	184	218
"219"	1073	183	219
"220"	972	235	220
"221"	1111	186	221
"222"	1046	133	222
"223"	1012	181	223
"224"	1046	187	224
"225"	1021	347	225
"226"	1102	377	226
"227"	1068	321	227
"228"	1053	383	228
"229"	1007	311	229
"230"	1082	273	230
"231"	1051	238	231
"232"	1017	251	232
"233"	972	263	233
"234"	1135	353	234
"235"	1096	350	235
"236"	1165	399	236
"237"	1180	320	237
"238"	1114	276	238
"239"	1040	299	239
"240"	1138	247	240
"241"	1139	315	241
"242"	987	1329	242
"243"	947	1407	243
"244"	1030	1339	244
"245"	1063	1260	245
"246"	1014	1205	246
"247"	1009	1140	247
"248"	938	1208	248
"249"	1105	1229	249
"250"	1096	1171	250
"251"	1177	1188	251
"252"	1142	1186	252
"253"	1241	1212	253
"254"	1294	1286	254
"255"	1298	1258	255
"256"	1328	1220	256
"257"	1324	1246	257
"258"	1383	1275	258
"259"	1359	1312	259
"260"	1158	1354	260
"261"	1100	1413	261
"262"	1094	1350	262
"263"	1138	1330	263
"264"	1110	1328	264
"265"	1123	1262	265
"266"	1176	1318	266
"267"	1164	1255	267
"268"	1205	1420	268
"269"	1150	1406	269
